fecha,hora,nivel,mensaje
2026-01-08,10:42:33,INFO,  [23/23] e-por-actividad-del-complejo-volcanico-laguna-del-maule
2026-01-08,10:42:38,INFO,Total: 20
2026-01-08,10:47:41,INFO,Iniciando navegador...
2026-01-08,10:47:53,INFO,URLs: 23
2026-01-08,10:47:53,INFO,  [1/23] combarbala-por-tormentas-electricas-2026-01-05-13-11-26
2026-01-08,10:47:58,INFO,  [2/23] -de-lonquimay-por-incendio-forestal-2026-01-07-23-43-20
2026-01-08,10:48:03,INFO,  [3/23] por-amenaza-de-incendios-forestales-2026-01-07-22-28-18
2026-01-08,10:48:07,INFO,  [4/23] e-ohiggins-por-evento-meteorologico-2026-01-06-13-25-32
2026-01-08,10:48:12,INFO,  [5/23] o-y-parral-por-evento-meteorologico-2026-01-06-15-53-17
2026-01-08,10:48:16,INFO,  [6/23] -los-andes-por-evento-meteorologico-2026-01-07-13-49-35
2026-01-08,10:48:21,INFO,  [7/23] por-amenaza-de-incendios-forestales-2026-01-07-17-22-54
2026-01-08,10:48:26,INFO,  [8/23] a-y-colina-por-evento-meteorologico-2026-01-07-13-25-47
2026-01-08,10:48:30,INFO,  [9/23] -region-del-maule-por-calor-extremo-2026-01-06-16-09-49
2026-01-08,10:48:35,INFO,  [10/23] -camarones-por-evento-meteorologico-2026-01-07-12-50-00
2026-01-08,10:48:40,INFO,  [11/23] salamanca-por-incendio-de-vertedero-2026-01-07-09-26-59
2026-01-08,10:48:44,INFO,  [12/23] la-region-de-uble-por-calor-extremo-2026-01-07-09-08-06
2026-01-08,10:48:49,INFO,  [13/23] por-amenaza-de-incendios-forestales-2026-01-06-21-37-09
2026-01-08,10:48:53,INFO,  [14/23] region-del-biobio-por-calor-intenso-2026-01-05-13-32-55
2026-01-08,10:48:58,INFO,  [15/23] ucon-y-curarrehue-por-evento-masivo-2026-01-06-15-38-23
2026-01-08,10:49:03,INFO,  [16/23] -comuna-de-ovalle-por-evento-masivo-2026-01-06-12-21-29
2026-01-08,10:49:07,INFO,  [17/23] por-amenaza-de-incendios-forestales-2026-01-02-20-28-41
2026-01-08,10:49:12,INFO,  [21/23] cia-de-parinacota-ante-accidente-por-material-peligroso
2026-01-08,10:49:16,INFO,  [22/23] o-por-actividad-del-complejo-volcanico-planchon-peteroa
2026-01-08,10:49:21,INFO,  [23/23] e-por-actividad-del-complejo-volcanico-laguna-del-maule
2026-01-08,10:49:26,INFO,Total: 20
2026-01-08,10:54:28,INFO,Iniciando navegador...
2026-01-08,10:54:40,INFO,URLs: 23
2026-01-08,10:54:40,INFO,  [1/23] combarbala-por-tormentas-electricas-2026-01-05-13-11-26
2026-01-08,10:54:45,INFO,  [2/23] -de-lonquimay-por-incendio-forestal-2026-01-07-23-43-20
2026-01-08,10:54:49,INFO,  [3/23] por-amenaza-de-incendios-forestales-2026-01-07-22-28-18
2026-01-08,10:54:54,INFO,  [4/23] e-ohiggins-por-evento-meteorologico-2026-01-06-13-25-32
2026-01-08,10:54:59,INFO,  [5/23] o-y-parral-por-evento-meteorologico-2026-01-06-15-53-17
2026-01-08,10:55:03,INFO,  [6/23] -los-andes-por-evento-meteorologico-2026-01-07-13-49-35
2026-01-08,10:55:08,INFO,  [7/23] por-amenaza-de-incendios-forestales-2026-01-07-17-22-54
2026-01-08,10:55:12,INFO,  [8/23] a-y-colina-por-evento-meteorologico-2026-01-07-13-25-47
2026-01-08,10:55:17,INFO,  [9/23] -region-del-maule-por-calor-extremo-2026-01-06-16-09-49
2026-01-08,10:55:21,INFO,  [10/23] -camarones-por-evento-meteorologico-2026-01-07-12-50-00
2026-01-08,10:55:26,INFO,  [11/23] salamanca-por-incendio-de-vertedero-2026-01-07-09-26-59
2026-01-08,10:55:31,INFO,  [12/23] la-region-de-uble-por-calor-extremo-2026-01-07-09-08-06
2026-01-08,10:55:35,INFO,  [13/23] por-amenaza-de-incendios-forestales-2026-01-06-21-37-09
2026-01-08,10:55:40,INFO,  [14/23] region-del-biobio-por-calor-intenso-2026-01-05-13-32-55
2026-01-08,10:55:45,INFO,  [15/23] ucon-y-curarrehue-por-evento-masivo-2026-01-06-15-38-23
2026-01-08,10:55:49,INFO,  [16/23] -comuna-de-ovalle-por-evento-masivo-2026-01-06-12-21-29
2026-01-08,10:55:54,INFO,  [17/23] por-amenaza-de-incendios-forestales-2026-01-02-20-28-41
2026-01-08,10:55:58,INFO,  [21/23] cia-de-parinacota-ante-accidente-por-material-peligroso
2026-01-08,10:56:03,INFO,  [22/23] o-por-actividad-del-complejo-volcanico-planchon-peteroa
2026-01-08,10:56:08,INFO,  [23/23] e-por-actividad-del-complejo-volcanico-laguna-del-maule
2026-01-08,10:56:12,INFO,Total: 20
2026-01-08,11:01:14,INFO,Iniciando navegador...
2026-01-08,11:01:27,INFO,URLs: 23
2026-01-08,11:01:27,INFO,  [1/23] combarbala-por-tormentas-electricas-2026-01-05-13-11-26
2026-01-08,11:01:31,INFO,  [2/23] -de-lonquimay-por-incendio-forestal-2026-01-07-23-43-20
2026-01-08,11:01:36,INFO,  [3/23] por-amenaza-de-incendios-forestales-2026-01-07-22-28-18
2026-01-08,11:01:40,INFO,  [4/23] e-ohiggins-por-evento-meteorologico-2026-01-06-13-25-32
2026-01-08,11:01:45,INFO,  [5/23] o-y-parral-por-evento-meteorologico-2026-01-06-15-53-17
2026-01-08,11:01:50,INFO,  [6/23] -los-andes-por-evento-meteorologico-2026-01-07-13-49-35
2026-01-08,11:01:54,INFO,  [7/23] por-amenaza-de-incendios-forestales-2026-01-07-17-22-54
2026-01-08,11:01:59,INFO,  [8/23] a-y-colina-por-evento-meteorologico-2026-01-07-13-25-47
2026-01-08,11:02:03,INFO,  [9/23] -region-del-maule-por-calor-extremo-2026-01-06-16-09-49
2026-01-08,11:02:08,INFO,  [10/23] -camarones-por-evento-meteorologico-2026-01-07-12-50-00
2026-01-08,11:02:13,INFO,  [11/23] salamanca-por-incendio-de-vertedero-2026-01-07-09-26-59
2026-01-08,11:02:17,INFO,  [12/23] la-region-de-uble-por-calor-extremo-2026-01-07-09-08-06
2026-01-08,11:02:22,INFO,  [13/23] por-amenaza-de-incendios-forestales-2026-01-06-21-37-09
2026-01-08,11:02:26,INFO,  [14/23] region-del-biobio-por-calor-intenso-2026-01-05-13-32-55
2026-01-08,11:02:31,INFO,  [15/23] ucon-y-curarrehue-por-evento-masivo-2026-01-06-15-38-23
2026-01-08,11:02:36,INFO,  [16/23] -comuna-de-ovalle-por-evento-masivo-2026-01-06-12-21-29
2026-01-08,11:02:40,INFO,  [17/23] por-amenaza-de-incendios-forestales-2026-01-02-20-28-41
2026-01-08,11:02:45,INFO,  [21/23] cia-de-parinacota-ante-accidente-por-material-peligroso
2026-01-08,11:02:49,INFO,  [22/23] o-por-actividad-del-complejo-volcanico-planchon-peteroa
2026-01-08,11:02:54,INFO,  [23/23] e-por-actividad-del-complejo-volcanico-laguna-del-maule
2026-01-08,11:02:59,INFO,Total: 20
2026-01-08,11:08:01,INFO,Iniciando navegador...
2026-01-08,11:08:13,INFO,URLs: 23
2026-01-08,11:08:13,INFO,  [1/23] combarbala-por-tormentas-electricas-2026-01-05-13-11-26
2026-01-08,11:08:18,INFO,  [2/23] -de-lonquimay-por-incendio-forestal-2026-01-07-23-43-20
2026-01-08,11:08:22,INFO,  [3/23] por-amenaza-de-incendios-forestales-2026-01-07-22-28-18
2026-01-08,11:08:27,INFO,  [4/23] e-ohiggins-por-evento-meteorologico-2026-01-06-13-25-32
2026-01-08,11:08:32,INFO,  [5/23] o-y-parral-por-evento-meteorologico-2026-01-06-15-53-17
2026-01-08,11:08:36,INFO,  [6/23] -los-andes-por-evento-meteorologico-2026-01-07-13-49-35
2026-01-08,11:08:41,INFO,  [7/23] por-amenaza-de-incendios-forestales-2026-01-07-17-22-54
2026-01-08,11:08:45,INFO,  [8/23] a-y-colina-por-evento-meteorologico-2026-01-07-13-25-47
2026-01-08,11:08:50,INFO,  [9/23] -region-del-maule-por-calor-extremo-2026-01-06-16-09-49
2026-01-08,11:08:55,INFO,  [10/23] -camarones-por-evento-meteorologico-2026-01-07-12-50-00
2026-01-08,11:08:59,INFO,  [11/23] salamanca-por-incendio-de-vertedero-2026-01-07-09-26-59
2026-01-08,11:09:04,INFO,  [12/23] la-region-de-uble-por-calor-extremo-2026-01-07-09-08-06
2026-01-08,11:09:08,INFO,  [13/23] por-amenaza-de-incendios-forestales-2026-01-06-21-37-09
2026-01-08,11:09:13,INFO,  [14/23] region-del-biobio-por-calor-intenso-2026-01-05-13-32-55
2026-01-08,11:09:18,INFO,  [15/23] ucon-y-curarrehue-por-evento-masivo-2026-01-06-15-38-23
2026-01-08,11:09:22,INFO,  [16/23] -comuna-de-ovalle-por-evento-masivo-2026-01-06-12-21-29
2026-01-08,11:09:27,INFO,  [17/23] por-amenaza-de-incendios-forestales-2026-01-02-20-28-41
2026-01-08,11:09:31,INFO,  [21/23] cia-de-parinacota-ante-accidente-por-material-peligroso
2026-01-08,11:09:36,INFO,  [22/23] o-por-actividad-del-complejo-volcanico-planchon-peteroa
2026-01-08,11:09:41,INFO,  [23/23] e-por-actividad-del-complejo-volcanico-laguna-del-maule
2026-01-08,11:09:45,INFO,Total: 20
2026-01-08,11:14:47,INFO,Iniciando navegador...
2026-01-08,11:15:00,INFO,URLs: 22
2026-01-08,11:15:00,INFO,  [1/22] combarbala-por-tormentas-electricas-2026-01-05-13-11-26
2026-01-08,11:15:05,INFO,  [2/22] -de-lonquimay-por-incendio-forestal-2026-01-07-23-43-20
2026-01-08,11:15:09,INFO,  [3/22] por-amenaza-de-incendios-forestales-2026-01-07-22-28-18
2026-01-08,11:15:14,INFO,  [4/22] e-ohiggins-por-evento-meteorologico-2026-01-06-13-25-32
2026-01-08,11:15:18,INFO,  [5/22] o-y-parral-por-evento-meteorologico-2026-01-06-15-53-17
2026-01-08,11:15:23,INFO,  [6/22] -los-andes-por-evento-meteorologico-2026-01-07-13-49-35
